runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
4,3020,87913,10000,733
4,2985,77430,10000,501
4,2942,60272,10000,365
4,2947,70194,10000,418
4,2969,91323,10000,794
4,2960,81425,10000,580
4,2984,72793,10000,500
4,2969,97240,10000,862
4,2968,46168,10000,181
4,3004,164201,10000,1021
4,3025,63685,10000,323
4,3014,50437,10000,192
4,2957,91848,10000,711
4,2954,50736,10000,198
4,2966,49814,10000,217
4,2963,84557,10000,557
4,2945,98532,10000,909
4,3009,67625,10000,378
4,2984,65895,10000,366
4,3004,38376,10000,48
4,2942,57452,10000,322
4,2944,65629,10000,343
4,2987,92197,10000,806
4,2943,83465,10000,571
4,2927,80691,10000,624
4,2948,85105,10000,669
4,2956,34724,10000,25
4,4159,82216,10000,697
4,2968,87705,10000,711
4,2939,61665,10000,305
4,2971,35975,10000,44
4,2941,122269,10000,926
4,2944,80626,10000,707
5,4623,184965,10000,920
5,3899,131957,10000,605
5,3895,70242,10000,38
5,4872,172710,10000,640
5,3907,148130,10000,537
5,3927,193254,10000,810
5,4055,90946,10000,236
5,3901,71185,10000,109
5,4876,164024,10000,473
5,3895,96912,10000,248
5,3904,81958,10000,183
5,3897,54778,10000,24
5,3898,88915,10000,202
5,4871,126307,10000,403
5,4892,204725,10000,919
5,4761,114759,10000,367
5,4873,83245,10000,126
5,4873,79816,10000,47
5,4878,130885,10000,443
5,4874,155705,10000,606
5,3895,149613,10000,468
5,3944,94646,10000,157
5,3894,80591,10000,178
5,4874,164453,10000,749
5,3899,140600,10000,572
5,4326,66159,10000,4
5,4872,71895,10000,58
5,4874,157490,10000,492
5,4872,189284,10000,826
5,4971,72405,10000,54
5,3895,135157,10000,489
5,3898,202821,10000,1008
5,4871,159555,10000,666
5,4874,146932,10000,441
5,4871,207086,10000,1005
5,4871,91154,10000,171
5,4869,211331,10000,878
5,3900,167750,10000,742
5,4870,189838,10000,832
5,3899,217266,10000,995
5,4867,180601,10000,745
5,4873,207456,10000,889
5,4869,101101,10000,169
5,3899,161103,10000,758
5,4872,161791,10000,644
5,4874,199471,10000,966
5,3898,112183,10000,391
5,4611,199612,10000,1005
5,4871,121627,10000,400
5,3898,159701,10000,572
5,4871,200189,10000,945
5,4875,122755,10000,403
5,4870,75820,10000,50
5,3963,109884,10000,344
5,4869,215464,10000,992
5,3897,163210,10000,817
5,3897,103604,10000,315
5,4871,114972,10000,316
5,3897,185506,10000,791
5,4875,58245,10000,3
5,3916,185790,10000,763
5,3899,74495,10000,71
5,4872,184892,10000,737
5,3900,190457,10000,855
5,4908,260104,10000,1020
5,4874,74526,10000,38
5,3898,102172,10000,275
5,3900,74296,10000,95
5,4873,117794,10000,318
5,3898,70782,10000,101
5,4869,139751,10000,516
5,4875,143946,10000,450
5,4866,168730,10000,696
5,3899,72963,10000,128
5,3895,183888,10000,830
5,3900,66739,10000,96
5,3896,67427,10000,84
5,4884,153194,10000,727
5,3897,54995,10000,3
5,3898,62596,10000,23
5,4872,183462,10000,886
5,4873,104789,10000,294
5,4871,194764,10000,867
5,4875,81855,10000,101
5,3896,151005,10000,631
5,4870,176211,10000,666
5,3899,150734,10000,624
5,3900,122294,10000,338
5,4874,129320,10000,364
5,4875,61481,10000,20
5,3897,113762,10000,353
5,3901,140992,10000,657
5,3896,189981,10000,921
5,3900,97982,10000,288
5,4867,141287,10000,341
5,4889,152822,10000,503
5,4848,169136,10000,546
5,3897,130184,10000,424
5,3896,172055,10000,853
5,3898,79479,10000,87
6,4482,71669,10000,338
6,3014,69797,10000,492
6,3017,61759,10000,339
6,3026,69162,10000,362
6,2967,73526,10000,478
6,2978,93002,10000,765
6,2992,85766,10000,737
6,3023,98501,10000,910
6,3035,102684,10000,968
6,3004,57328,10000,256
6,2999,73034,10000,323
6,3032,53785,10000,249
6,3085,99130,10000,733
6,3032,103052,10000,882
6,2999,70416,10000,557
6,2992,40396,10000,99
6,3030,53388,10000,275
6,3042,101738,10000,855
6,3005,64284,10000,417
6,3012,113431,10000,969
